date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:55:26	5550/5550	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Aug%202021%2021:55:24%20GMT	https://aavebot.000webhostapp.com/robots.txt		(from )
23:55:26	32299/32299	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2021:55:25%20GMT	https://aavebot.000webhostapp.com/	C:/Users/2021CQ/Desktop/dzdddddddddddddddddd/aavebot.000webhostapp.com/index.html	(from )
23:55:27	20356/20356	---MCZ	200	added ('OK')	text/css	date:Mon,%2002%20Aug%202021%2020:13:31%20GMT	https://aavebot.000webhostapp.com/assets/css/styles.css	C:/Users/2021CQ/Desktop/dzdddddddddddddddddd/aavebot.000webhostapp.com/assets/css/styles.css	(from https://aavebot.000webhostapp.com/)
23:55:27	169920/169920	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/angularjs/1.6.9/angular.min.js	C:/Users/2021CQ/Desktop/dzdddddddddddddddddd/ajax.googleapis.com/ajax/libs/angularjs/1.6.9/angular.min.js	(from https://aavebot.000webhostapp.com/)
23:55:28	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/2021CQ/Desktop/dzdddddddddddddddddd/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://aavebot.000webhostapp.com/)
23:55:28	32299/32299	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2021:55:26%20GMT	https://aavebot.000webhostapp.com/index.html	C:/Users/2021CQ/Desktop/dzdddddddddddddddddd/aavebot.000webhostapp.com/index-2.html	(from https://aavebot.000webhostapp.com/)
23:55:28	23073/23073	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2021:55:26%20GMT	https://aavebot.000webhostapp.com/pool.html	C:/Users/2021CQ/Desktop/dzdddddddddddddddddd/aavebot.000webhostapp.com/pool.html	(from https://aavebot.000webhostapp.com/)
23:55:28	21066/21066	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2021:55:27%20GMT	https://aavebot.000webhostapp.com/airdrop.html	C:/Users/2021CQ/Desktop/dzdddddddddddddddddd/aavebot.000webhostapp.com/airdrop.html	(from https://aavebot.000webhostapp.com/)
23:55:28	17458/17458	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2021:55:27%20GMT	https://aavebot.000webhostapp.com/list.html	C:/Users/2021CQ/Desktop/dzdddddddddddddddddd/aavebot.000webhostapp.com/list.html	(from https://aavebot.000webhostapp.com/)
23:55:29	13518/13518	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2021:55:27%20GMT	https://aavebot.000webhostapp.com/referral.html	C:/Users/2021CQ/Desktop/dzdddddddddddddddddd/aavebot.000webhostapp.com/referral.html	(from https://aavebot.000webhostapp.com/)
23:55:29	17719/17719	---MCZ	200	added ('OK')	text/html	date:Mon,%2002%20Aug%202021%2021:55:27%20GMT	https://aavebot.000webhostapp.com/FAQ.html	C:/Users/2021CQ/Desktop/dzdddddddddddddddddd/aavebot.000webhostapp.com/FAQ.html	(from https://aavebot.000webhostapp.com/)
23:55:29	27463/27463	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Aug%202021%2020:13:35%20GMT	https://aavebot.000webhostapp.com/assets/image/logo.png	C:/Users/2021CQ/Desktop/dzdddddddddddddddddd/aavebot.000webhostapp.com/assets/image/logo.png	(from https://aavebot.000webhostapp.com/)
23:55:29	18837/18837	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Aug%202021%2021:55:28%20GMT	https://aavebot.000webhostapp.com/{{scan}}address/{{account.address}}	C:/Users/2021CQ/Desktop/dzdddddddddddddddddd/aavebot.000webhostapp.com/{{scan}}address/{{account.address}}	(from https://aavebot.000webhostapp.com/)
23:55:29	18837/18837	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Aug%202021%2021:55:28%20GMT	https://aavebot.000webhostapp.com/{{scan}}	C:/Users/2021CQ/Desktop/dzdddddddddddddddddd/aavebot.000webhostapp.com/{{scan}}	(from https://aavebot.000webhostapp.com/)
